index,age,income,region,sex,race,education,party,ideology,religion,attendance,marital,actual_response,llm_raw,llm_parsed,tokens_input,tokens_output,cost_usd,error
0,77.0,24502.0,Middle Atlantic,Female,Black,Graduate degree,Independent,Conservative,None,Every week,Never married,Oppose,,,224.0,200.0,0.0003172,
1,57.0,4991.0,New England,Female,White,Less than high school,"Independent, close to Democrat",Moderate,Protestant,Never,Widowed,Oppose,,,236.0,200.0,0.0003208,
2,64.0,117564.0,New England,Male,White,Graduate degree,Strong Democrat,Liberal,None,Less than once a year,Divorced,Oppose,,,224.0,200.0,0.0003172,
3,65.0,29947.0,New England,Female,White,Graduate degree,Strong Democrat,Liberal,None,Several times a year,Married,Oppose,"Oppose — I believe the death penalty is inhumane, risks executing innocent people, and hasn’t proven to be a reliable deterrent; life imprisonment without parole is a better alternative.",Oppose,224.0,175.0,0.00028595,
4,29.0,181.0,Middle Atlantic,Female,Black,High school,Independent,Slightly liberal,Catholic,Less than once a year,Never married,Oppose,,,233.0,200.0,0.0003199,
5,75.0,9713.0,Middle Atlantic,Male,White,High school,"Independent, close to Republican",Slightly conservative,Catholic,Several times a year,Divorced,Favor,,,237.0,200.0,0.0003211,
6,57.0,5623.0,West North Central,Female,White,Less than high school,Independent,Moderate,Other,Never,Divorced,Favor,,,232.0,200.0,0.0003196,
7,67.0,27607.0,Middle Atlantic,Female,White,Bachelor's degree,Strong Republican,Conservative,Protestant,2-3 times a month,Married,Favor,Favor — I believe it’s appropriate for those convicted of murder to receive the death penalty to provide justice and closure for victims’ families and help deter violent crime.,Favor,236.0,169.0,0.00028205,
8,68.0,22495.0,West North Central,Male,White,High school,"Independent, close to Republican",Moderate,Catholic,Several times a year,Divorced,Favor,,,237.0,200.0,0.0003211,
9,62.0,11247.0,East North Central,Female,White,High school,Strong Republican,Conservative,Protestant,Several times a year,Married,Oppose,Favor — I believe murder is the most serious crime and the death penalty can provide justice for victims and their families; it also serves as a deterrent when applied fairly.,Favor,234.0,171.0,0.00028395,
10,18.0,4601.0,Middle Atlantic,Male,Black,High school,Strong Democrat,Liberal,Protestant,Less than once a year,Never married,Oppose,Oppose — I’m against the death penalty because of the risk of wrongful convictions and racial bias in the system; I prefer life without parole as an alternative.,Oppose,235.0,105.0,0.00020175,
11,36.0,22495.0,New England,Male,Other,Bachelor's degree,Not very strong Democrat,Moderate,Catholic,Every week,Married,Oppose,,,233.0,200.0,0.0003199,
12,62.0,33742.0,Middle Atlantic,Male,White,Bachelor's degree,Strong Republican,Conservative,None,Less than once a year,Divorced,Favor,,,224.0,200.0,0.0003172,
13,51.0,5623.0,Middle Atlantic,Male,White,High school,Not very strong Republican,Slightly conservative,Catholic,Once a year,Never married,Favor,,,236.0,200.0,0.0003208,
14,42.0,18405.0,Middle Atlantic,Female,White,Associate/Junior college,Not very strong Republican,Slightly conservative,Protestant,Less than once a year,Never married,Favor,,,241.0,200.0,0.0003223,
15,47.0,18405.0,West North Central,Female,White,Bachelor's degree,Strong Democrat,Liberal,None,Less than once a year,Never married,Favor,"Oppose — I’m a liberal Democrat and oppose capital punishment on moral grounds, because of the risk of wrongful convictions and unequal application by race and income.",Oppose,226.0,104.0,0.00019779999999999998,
16,29.0,13292.0,East North Central,Female,White,Associate/Junior college,Independent,Moderate,Christian,More than once a week,Married,Oppose,,,237.0,200.0,0.0003211,
17,41.0,5623.0,West North Central,Female,White,Less than high school,,Moderate,Catholic,Every week,Never married,Oppose,,,225.0,200.0,0.0003175,
18,31.0,27607.0,New England,Female,White,Graduate degree,Strong Democrat,Extremely liberal,Jewish,Less than once a year,Never married,Oppose,,,236.0,200.0,0.0003208,
19,21.0,4601.0,Middle Atlantic,Female,Black,High school,Independent,Moderate,Muslim/Islam,2-3 times a month,Never married,Oppose,,,238.0,200.0,0.0003214,
20,72.0,19965.0,East North Central,Female,White,Associate/Junior college,Not very strong Democrat,Slightly liberal,Catholic,Less than once a year,Divorced,Favor,,,241.0,200.0,0.0003223,
21,,,,,,,,,,,,,,,,,,"Error code: 400 - {'error': {'message': 'Could not finish the message because max_tokens or model output limit was reached. Please try again with higher max_tokens.', 'type': 'invalid_request_error', 'param': None, 'code': None}}"
22,39.0,5623.0,East North Central,Female,White,Associate/Junior college,"Independent, close to Democrat",Moderate,None,Never,Divorced,Favor,,,231.0,200.0,0.0003193,
23,81.0,22495.0,West North Central,Female,Black,Less than high school,"Independent, close to Democrat",Liberal,Protestant,Several times a year,Widowed,Oppose,,,240.0,200.0,0.000322,
24,56.0,15337.0,West North Central,Male,Other,Less than high school,Not very strong Democrat,Conservative,Catholic,Once a month,Married,Favor,,,237.0,200.0,0.0003211,
25,65.0,2249.0,New England,Female,White,High school,"Independent, close to Democrat",Liberal,Catholic,2-3 times a month,Widowed,Favor,"Oppose — As a practicing Catholic and a liberal New Englander, I believe the death penalty is morally wrong, risks executing innocent people, and that life imprisonment is a more humane and just option.",Oppose,240.0,113.0,0.00021325,
26,57.0,65439.0,New England,Female,White,High school,Strong Republican,Extremely conservative,Protestant,Every week,Married,Favor,,,232.0,200.0,0.0003196,
27,39.0,7713.0,East North Central,Male,Black,High school,Independent,Slightly conservative,None,,Never married,Favor,,,226.0,200.0,0.0003178,
28,72.0,27607.0,West North Central,Female,White,High school,Not very strong Democrat,Slightly liberal,Protestant,Never,Widowed,Oppose,,,235.0,200.0,0.00032050000000000004,
29,79.0,33742.0,East North Central,Male,White,High school,Strong Republican,Conservative,Protestant,Once a year,Married,Oppose,,,233.0,200.0,0.0003199,
30,18.0,135195.0,East North Central,Female,White,High school,Not very strong Democrat,Extremely liberal,None,Never,Never married,Oppose,"Oppose — I believe the death penalty is morally wrong, risks executing innocent people, and isn’t a proven deterrent; life imprisonment without parole is a better alternative.",Oppose,229.0,171.0,0.00028245,
31,72.0,33742.0,New England,Female,White,Bachelor's degree,"Independent, close to Democrat",Slightly liberal,Other,Every week,Divorced,Oppose,,,235.0,200.0,0.00032050000000000004,
32,34.0,27607.0,New England,Male,Other,Bachelor's degree,"Independent, close to Democrat",Slightly liberal,None,Never,Never married,Oppose,,,229.0,200.0,0.0003187,
33,44.0,8691.0,Middle Atlantic,Male,White,Less than high school,Independent,Moderate,None,Never,Never married,Favor,,,226.0,200.0,0.0003178,
34,55.0,49080.0,West North Central,Female,Other,Bachelor's degree,Other party,Moderate,Catholic,Never,Divorced,Favor,,,231.0,200.0,0.0003193,
35,89.0,13292.0,East North Central,Female,White,High school,Not very strong Republican,Moderate,Protestant,Every week,Widowed,Favor,,,235.0,200.0,0.00032050000000000004,
36,61.0,6646.0,East North Central,Male,Black,High school,Not very strong Democrat,Extremely liberal,Protestant,Every week,Separated,Favor,,,235.0,200.0,0.00032050000000000004,
37,28.0,40900.0,East North Central,Male,White,High school,Strong Republican,Extremely conservative,Protestant,Nearly every week,Never married,Favor,,,235.0,200.0,0.00032050000000000004,
38,76.0,117564.0,East North Central,Male,White,Graduate degree,Strong Republican,Slightly conservative,Catholic,Every week,Never married,Favor,,,234.0,200.0,0.0003202,
39,79.0,18405.0,East North Central,Male,White,Bachelor's degree,Strong Republican,Conservative,Protestant,Nearly every week,Married,Favor,,,233.0,200.0,0.0003199,
40,47.0,50820.0,East North Central,Male,White,Graduate degree,"Independent, close to Democrat",Slightly liberal,Protestant,2-3 times a month,Married,Oppose,,,241.0,200.0,0.0003223,
41,35.0,18405.0,New England,Female,Other,Associate/Junior college,"Independent, close to Democrat",Liberal,None,Never,Never married,Oppose,"Oppose — I believe the death penalty is inhumane, risks executing innocent people, and is applied unevenly, so I prefer life imprisonment without parole instead.",Oppose,231.0,106.0,0.00020179999999999997,
42,31.0,27607.0,East North Central,Female,Other,Associate/Junior college,Independent,Moderate,Muslim/Islam,More than once a week,Married,Favor,,,239.0,200.0,0.0003217,
43,61.0,36300.0,East North Central,Female,White,Bachelor's degree,Strong Republican,Conservative,Protestant,Nearly every week,Married,Favor,,,233.0,200.0,0.0003199,
44,21.0,135195.0,West North Central,Male,White,High school,Not very strong Democrat,Liberal,None,Never,Never married,Oppose,"Oppose — I believe the death penalty is morally wrong, risks executing innocent people, is applied unevenly, and doesn’t reliably deter crime; life imprisonment is a better alternative.",Oppose,228.0,173.0,0.00028465,
45,75.0,27607.0,East North Central,Male,White,High school,"Independent, close to Democrat",Moderate,Catholic,Less than once a year,Widowed,Favor,,,239.0,200.0,0.0003217,
46,71.0,117564.0,New England,Male,White,Bachelor's degree,Not very strong Republican,Slightly conservative,Catholic,Every week,Married,Favor,,,234.0,200.0,0.0003202,
47,30.0,3680.0,Middle Atlantic,Female,White,High school,Not very strong Republican,Slightly conservative,Protestant,Never,Never married,Oppose,,,234.0,200.0,0.0003202,
48,71.0,65439.0,East North Central,Male,White,Bachelor's degree,Independent,Slightly conservative,None,Less than once a year,Married,Favor,,,225.0,200.0,0.0003175,
49,58.0,11797.0,West North Central,Female,Other,Bachelor's degree,Strong Democrat,Slightly liberal,Buddhism,Once a month,Never married,Favor,"Oppose — As a Buddhist and a strong Democrat with concerns about wrongful convictions and unequal application of justice, I oppose the death penalty on moral and fairness grounds.",Oppose,235.0,105.0,0.00020175,
50,33.0,3067.0,Middle Atlantic,Male,Black,High school,"Independent, close to Democrat",Moderate,Catholic,Once a year,Never married,Oppose,,,236.0,200.0,0.0003208,
51,26.0,40900.0,West North Central,Male,White,Bachelor's degree,Strong Democrat,Extremely liberal,None,Never,Married,Oppose,,,226.0,200.0,0.0003178,
52,71.0,36300.0,Middle Atlantic,Male,White,High school,Not very strong Republican,Slightly conservative,Catholic,Every week,Married,Favor,,,234.0,200.0,0.0003202,
53,72.0,7713.0,East North Central,Female,White,High school,Strong Republican,Conservative,Protestant,2-3 times a month,Never married,Favor,,,238.0,200.0,0.0003214,
54,50.0,24502.0,New England,Female,Black,High school,Not very strong Democrat,Moderate,Protestant,Several times a year,Married,Favor,"Oppose — I worry about racial bias and wrongful convictions, and I don't trust the system to apply it fairly.",Oppose,235.0,160.0,0.0002705,
55,64.0,18405.0,East North Central,Female,Other,Bachelor's degree,Not very strong Democrat,Moderate,Catholic,Once a month,Married,Oppose,,,235.0,200.0,0.00032050000000000004,
56,42.0,4601.0,Middle Atlantic,Male,White,High school,Other party,Moderate,None,Never,Separated,Favor,,,224.0,200.0,0.0003172,
57,52.0,40900.0,West North Central,Female,White,Graduate degree,"Independent, close to Democrat",Moderate,None,Never,Divorced,Favor,,,228.0,200.0,0.0003184,
58,42.0,4083.0,New England,Female,White,High school,Not very strong Democrat,Slightly liberal,None,Never,Never married,Oppose,,,228.0,200.0,0.0003184,
59,44.0,8691.0,East North Central,Female,Black,Graduate degree,Not very strong Democrat,Slightly conservative,Protestant,Less than once a year,Separated,Favor,"Oppose — I’m concerned about racial bias and wrongful convictions, and I don’t think it’s an effective deterrent; life without parole is preferable.",Oppose,238.0,168.0,0.0002814,
60,33.0,11797.0,East North Central,Male,White,Bachelor's degree,"Independent, close to Democrat",Slightly liberal,Catholic,2-3 times a month,Married,Favor,,,241.0,200.0,0.0003223,
61,63.0,135195.0,East North Central,Female,White,Bachelor's degree,Independent,Moderate,None,,Married,Oppose,,,224.0,200.0,0.0003172,
62,33.0,2722.0,New England,Female,White,High school,Strong Republican,Slightly conservative,Christian,Several times a year,Never married,Favor,,,235.0,200.0,0.00032050000000000004,
63,44.0,27607.0,East North Central,Female,White,Associate/Junior college,Strong Republican,Extremely conservative,Protestant,Every week,Married,Favor,"Favor. As a conservative and someone who values law and order, I believe the death penalty is appropriate for the most heinous murders — it delivers justice for victims and helps protect society.",Favor,236.0,110.0,0.00020830000000000002,
64,24.0,58080.0,East North Central,Female,White,Bachelor's degree,"Independent, close to Republican",Moderate,Catholic,Once a year,Never married,Favor,,,237.0,200.0,0.0003211,
65,44.0,65439.0,Middle Atlantic,Male,White,Associate/Junior college,Strong Republican,Conservative,Catholic,Every week,Married,Favor,"Favor — I believe the death penalty is an appropriate, just punishment for those who commit murder and can provide closure and deterrence for violent crime.",Favor,234.0,166.0,0.0002777,
66,44.0,22495.0,East North Central,Male,Other,High school,Independent,Slightly conservative,None,Never,Divorced,Favor,,,225.0,200.0,0.0003175,
67,29.0,4083.0,East North Central,Female,Black,Bachelor's degree,"Independent, close to Democrat",Moderate,Protestant,Once a year,Divorced,Oppose,,,236.0,200.0,0.0003208,
68,34.0,29947.0,East North Central,Male,White,High school,Strong Republican,Conservative,Protestant,Every week,Married,Favor,,,232.0,200.0,0.0003196,
69,62.0,11247.0,Middle Atlantic,Female,White,Less than high school,"Independent, close to Republican",Slightly conservative,Protestant,Once a year,Widowed,Favor,,,239.0,200.0,0.0003217,
70,39.0,49080.0,New England,Female,White,Graduate degree,Strong Democrat,Slightly liberal,Catholic,Less than once a year,Married,Favor,,,235.0,200.0,0.00032050000000000004,
