index,age,income,region,sex,race,education,party,ideology,religion,attendance,marital,actual_response,llm_raw,llm_parsed,tokens_input,tokens_output,cost_usd
0,77,24502,Middle Atlantic,Female,Black,Graduate degree,Independent,Conservative,None,Every week,Never married,Oppose,"Oppose — As an older Black woman who values law and order, I still worry the death penalty is applied unfairly and risks executing the innocent; I'd prefer life without parole given the system's flaws.",Oppose,224,242,0.0003697
1,57,4991,New England,Female,White,Less than high school,"Independent, close to Democrat",Moderate,Protestant,Never,Widowed,Oppose,Oppose — I don’t support putting people to death; there’s too much risk of wrongful conviction and it hasn’t been shown to deter crime. I’d rather see life without parole.,Oppose,236,175,0.00028955
2,64,117564,New England,Male,White,Graduate degree,Strong Democrat,Liberal,None,Less than once a year,Divorced,Oppose,"Oppose — As a liberal New Englander I believe the death penalty is morally problematic, applied unequally, and risks executing the innocent; life without parole is a better alternative.",Oppose,224,174,0.00028470000000000004
3,65,29947,New England,Female,White,Graduate degree,Strong Democrat,Liberal,None,Several times a year,Married,Oppose,"Oppose — I oppose the death penalty because it’s irreversible, prone to wrongful convictions and racial bias, and hasn’t been shown to reliably deter crime; I prefer life imprisonment without parole.",Oppose,224,175,0.00028595
4,29,181,Middle Atlantic,Female,Black,High school,Independent,Slightly liberal,Catholic,Less than once a year,Never married,Oppose,Oppose — I’m uncomfortable with the risk of wrongful convictions and the way the death penalty is applied unevenly by race and income; I prefer life without parole and it aligns with my moral/Catholic views.,Oppose,233,244,0.00037489999999999995
5,75,9713,Middle Atlantic,Male,White,High school,"Independent, close to Republican",Slightly conservative,Catholic,Several times a year,Divorced,Favor,"Favor. I believe in tough consequences for taking a life—justice for victims and keeping dangerous people off the streets, though I worry about wrongful convictions.",Favor,237,231,0.00035985
6,57,5623,West North Central,Female,White,Less than high school,Independent,Moderate,Other,Never,Divorced,Favor,"Oppose — I worry about wrongful convictions, unequal application, and don't trust the state to take a life; it also seems costly and not a clear deterrent.",Oppose,232,234,0.0003621
7,67,27607,Middle Atlantic,Female,White,Bachelor's degree,Strong Republican,Conservative,Protestant,2-3 times a month,Married,Favor,Favor — I believe the death penalty is appropriate for heinous murders as a matter of justice and to provide closure for victims' families.,Favor,236,100,0.0001958
8,68,22495,West North Central,Male,White,High school,"Independent, close to Republican",Moderate,Catholic,Several times a year,Divorced,Favor,"Favor — I believe it can provide justice and deterrence for particularly heinous murders, though it should be used rarely and only when the evidence is overwhelming.",Favor,237,296,0.0004411
9,62,11247,East North Central,Female,White,High school,Strong Republican,Conservative,Protestant,Several times a year,Married,Oppose,Favor — I believe the death penalty is an appropriate punishment for those convicted of murder and helps provide justice and deterrence for the most serious crimes.,Favor,234,166,0.0002777
10,18,4601,Middle Atlantic,Male,Black,High school,Strong Democrat,Liberal,Protestant,Less than once a year,Never married,Oppose,"Oppose — I think it’s morally wrong, risks executing innocent people, and is applied unfairly against Black people; life imprisonment is a safer alternative.",Oppose,235,168,0.00028050000000000004
11,36,22495,New England,Male,Other,Bachelor's degree,Not very strong Democrat,Moderate,Catholic,Every week,Married,Oppose,"Oppose — As a practicing Catholic who values life, I oppose the death penalty; the risk of wrongful conviction and belief in redemption and rehabilitation make it unacceptable.",Oppose,233,233,0.00036114999999999997
12,62,33742,Middle Atlantic,Male,White,Bachelor's degree,Strong Republican,Conservative,None,Less than once a year,Divorced,Favor,Favor — I believe the death penalty is appropriate for the most heinous murders as a matter of justice and deterrence.,Favor,224,97,0.00018845
13,51,5623,Middle Atlantic,Male,White,High school,Not very strong Republican,Slightly conservative,Catholic,Once a year,Never married,Favor,Oppose — As a Catholic I lean toward the sanctity of life and worry about wrongful convictions; I also don’t see clear evidence it deters murder.,Oppose,236,233,0.00036205
14,42,18405,Middle Atlantic,Female,White,Associate/Junior college,Not very strong Republican,Slightly conservative,Protestant,Less than once a year,Never married,Favor,"Favor — I believe the death penalty is appropriate for those convicted of murder as a matter of justice and deterrence, especially in the most egregious cases.",Favor,241,169,0.00028355000000000003
15,47,18405,West North Central,Female,White,Bachelor's degree,Strong Democrat,Liberal,None,Less than once a year,Never married,Favor,"Oppose — I believe the death penalty is inhumane, risks executing innocent people, and doesn’t address root causes; life without parole is a fairer alternative.",Oppose,226,171,0.00028155
16,29,13292,East North Central,Female,White,Associate/Junior college,Independent,Moderate,Christian,More than once a week,Married,Oppose,"Oppose — As a regularly practicing Christian, I believe in the sanctity of life and have concerns about wrongful convictions and unequal application of capital punishment.",Oppose,237,295,0.00043985
17,41,5623,West North Central,Female,White,Less than high school,,Moderate,Catholic,Every week,Never married,Oppose,"Oppose — As a practicing Catholic who attends services weekly, I believe life is sacred and prefer life imprisonment without parole; there's also the risk of wrongful convictions.",Oppose,225,233,0.00035875
18,31,27607,New England,Female,White,Graduate degree,Strong Democrat,Extremely liberal,Jewish,Less than once a year,Never married,Oppose,"Oppose — I’m strongly against capital punishment for moral reasons, because of wrongful conviction risk, its racial disparities, and evidence it doesn’t effectively deter crime; I prefer life imprisonment without parole.",Oppose,236,176,0.0002908
19,21,4601,Middle Atlantic,Female,Black,High school,Independent,Moderate,Muslim/Islam,2-3 times a month,Never married,Oppose,"Oppose — I worry about wrongful convictions and the death penalty’s disproportionate impact on Black communities, plus I'm uncomfortable with state taking a life.",Oppose,238,166,0.0002789
20,72,19965,East North Central,Female,White,Associate/Junior college,Not very strong Democrat,Slightly liberal,Catholic,Less than once a year,Divorced,Favor,"Oppose — As a Catholic with slightly liberal views, I believe taking a life isn’t right, and I worry about wrongful convictions and the death penalty’s lack of proven deterrent; life imprisonment is preferable.",Oppose,241,179,0.00029604999999999996
21,20,6646,East North Central,Female,Black,High school,"Independent, close to Democrat",Moderate,Protestant,Once a year,Never married,Favor,"Oppose — I'm worried about wrongful convictions and racial bias in who gets the death penalty; life without parole feels like a fairer, less irreversible option.",Oppose,237,232,0.0003611
22,39,5623,East North Central,Female,White,Associate/Junior college,"Independent, close to Democrat",Moderate,None,Never,Divorced,Favor,"Oppose — I worry about wrongful convictions and the unequal way it’s applied; I prefer life without parole as a safer, more humane alternative.",Oppose,231,230,0.0003568
23,81,22495,West North Central,Female,Black,Less than high school,"Independent, close to Democrat",Liberal,Protestant,Several times a year,Widowed,Oppose,Oppose — I worry the system is biased against Black people and mistakes can happen; my faith and values lead me to prefer life without parole rather than risking an innocent life.,Oppose,240,236,0.00036700000000000003
24,56,15337,West North Central,Male,Other,Less than high school,Not very strong Democrat,Conservative,Catholic,Once a month,Married,Favor,"Favor — I believe it’s a just punishment for those who commit murder and can provide closure for victims’ families, though I worry about ensuring the system is fair and avoids wrongful convictions.",Favor,237,302,0.0004486
25,65,2249,New England,Female,White,High school,"Independent, close to Democrat",Liberal,Catholic,2-3 times a month,Widowed,Favor,"Oppose — As a liberal Catholic from New England, I believe in the sanctity of life, worry about wrongful convictions, and prefer life imprisonment without parole as a safer, more humane alternative.",Oppose,240,176,0.000292
26,57,65439,New England,Female,White,High school,Strong Republican,Extremely conservative,Protestant,Every week,Married,Favor,Favor — I believe in tough consequences for those who commit murder; it’s about justice for victims and deterring the worst crimes.,Favor,232,99,0.00019335
