index,age,income,region,sex,race,education,party,ideology,religion,attendance,marital,actual_response,llm_raw,llm_parsed,tokens_input,tokens_output,cost_usd,error
0,77.0,24502.0,Middle Atlantic,Female,Black,Graduate degree,Independent,Conservative,None,Every week,Never married,Oppose,"Oppose — Too many wrongful convictions and racial disparities; I don’t trust the state to get it right. Life without parole is a safer, serious alternative.",Oppose,224.0,361.0,0.0051845,
1,57.0,4991.0,New England,Female,White,Less than high school,"Independent, close to Democrat",Moderate,Protestant,Never,Widowed,Oppose,"Oppose. Too many risks of wrongful convictions and unequal application, and life without parole protects the public without the chance of an irreversible mistake.",Oppose,236.0,229.0,0.0035705,
2,64.0,117564.0,New England,Male,White,Graduate degree,Strong Democrat,Liberal,None,Less than once a year,Divorced,Oppose,"Oppose — It’s irreversible, risks executing the wrong person, doesn’t deter crime, and is applied unevenly. Life without parole is a better, safer alternative.",Oppose,224.0,171.0,0.0028095,
3,65.0,29947.0,New England,Female,White,Graduate degree,Strong Democrat,Liberal,None,Several times a year,Married,Oppose,"Oppose. Too many wrongful convictions and racial disparities, no clear deterrent effect, and life without parole protects the public without risking executing an innocent person.",Oppose,224.0,424.0,0.005972,
4,29.0,181.0,Middle Atlantic,Female,Black,High school,Independent,Slightly liberal,Catholic,Less than once a year,Never married,Oppose,"Oppose. Too many wrongful convictions and racial biases in the system, and you can’t undo an execution if the system gets it wrong. Life without parole is a safer, just alternative.",Oppose,233.0,239.0,0.0036865,
5,75.0,9713.0,Middle Atlantic,Male,White,High school,"Independent, close to Republican",Slightly conservative,Catholic,Several times a year,Divorced,Favor,"Favor. For the worst murders with overwhelming evidence, I think it’s warranted, though we need strict safeguards to prevent wrongful convictions.",Favor,237.0,419.0,0.0059485,
6,57.0,5623.0,West North Central,Female,White,Less than high school,Independent,Moderate,Other,Never,Divorced,Favor,"Favor — in the most clear, heinous cases with strong evidence. I do worry about wrongful convictions, so there should be strict safeguards, and life without parole should be used when there’s any doubt.",Favor,232.0,434.0,0.006121,
7,67.0,27607.0,Middle Atlantic,Female,White,Bachelor's degree,Strong Republican,Conservative,Protestant,2-3 times a month,Married,Favor,"Favor. For the most egregious murders, with overwhelming evidence, I believe it delivers justice and can deter others—provided there are strict safeguards and appeals to prevent wrongful convictions.",Favor,236.0,365.0,0.0052705,
8,68.0,22495.0,West North Central,Male,White,High school,"Independent, close to Republican",Moderate,Catholic,Several times a year,Divorced,Favor,"Favor — in the most heinous cases with clear, overwhelming evidence (like DNA), I think it can be a just penalty, though it should be rare and with strong safeguards to prevent wrongful convictions.",Favor,237.0,305.0,0.0045235,
9,62.0,11247.0,East North Central,Female,White,High school,Strong Republican,Conservative,Protestant,Several times a year,Married,Oppose,"Favor — For especially heinous murders, the ultimate penalty can be a just consequence and a deterrent, provided guilt is certain and the legal process is thorough with strong safeguards and appeals.",Favor,234.0,174.0,0.002877,
10,18.0,4601.0,Middle Atlantic,Male,Black,High school,Strong Democrat,Liberal,Protestant,Less than once a year,Never married,Oppose,"Oppose — Too many wrongful convictions and clear racial biases in the system; life without parole is a safer, more just alternative, and the death penalty doesn’t deter crime.",Oppose,235.0,300.0,0.004455,
11,36.0,22495.0,New England,Male,Other,Bachelor's degree,Not very strong Democrat,Moderate,Catholic,Every week,Married,Oppose,"Oppose — As a practicing Catholic, I value the sanctity of life and prefer life without parole. The risk of wrongful convictions and unequal application also weighs heavily for me.",Oppose,233.0,428.0,0.006049,
12,62.0,33742.0,Middle Atlantic,Male,White,Bachelor's degree,Strong Republican,Conservative,None,Less than once a year,Divorced,Favor,"Favor. For the worst, clearly proven cases of premeditated murder, the death penalty is a just consequence and can bring closure—provided there are strong safeguards to prevent wrongful convictions.",Favor,224.0,238.0,0.003647,
13,51.0,5623.0,Middle Atlantic,Male,White,High school,Not very strong Republican,Slightly conservative,Catholic,Once a year,Never married,Favor,,,236.0,500.0,0.006958000000000001,
14,42.0,18405.0,Middle Atlantic,Female,White,Associate/Junior college,Not very strong Republican,Slightly conservative,Protestant,Less than once a year,Never married,Favor,"Favor. For the most severe murders, I think it can be a just punishment if the evidence is airtight and there are strong safeguards to prevent wrongful convictions.",Favor,241.0,424.0,0.006023,
15,47.0,18405.0,West North Central,Female,White,Bachelor's degree,Strong Democrat,Liberal,None,Less than once a year,Never married,Favor,"Oppose — Too many wrongful convictions and racial biases, and it doesn’t deter crime. Life without parole is a better, reversible alternative.",Oppose,226.0,165.0,0.0027405,
16,29.0,13292.0,East North Central,Female,White,Associate/Junior college,Independent,Moderate,Christian,More than once a week,Married,Oppose,,,237.0,500.0,0.006961,
